accuracy,precision,recall,f1,model,best_params
0.7325,0.6991503267973856,0.5440347891851012,0.5799279885584184,tfidf_logreg_baseline,
0.6575,0.7666666666666666,0.369014306422134,0.3357410405459382,tfidf_multinb,
0.7425,0.6636671233445427,0.5941955000945358,0.6190067483070244,tfidf_logreg_gridsearch,{'C': 10}
0.645,0.215,0.3333333333333333,0.26139817629179335,word2vec_avg_logreg,
